time,temperature_2m,relativehumidity_2m,precipitation
2023-01-01 00:00:00,13.9,96,7.1
2023-01-01 01:00:00,13.3,92,2.0
2023-01-01 02:00:00,13.2,93,0.7
2023-01-01 03:00:00,12.4,94,0.0
2023-01-01 04:00:00,11.1,94,0.0
2023-01-01 05:00:00,10.8,94,0.0
2023-01-01 06:00:00,11.2,94,0.2
2023-01-01 07:00:00,9.8,97,0.0
2023-01-01 08:00:00,8.8,97,0.0
2023-01-01 09:00:00,10.2,93,0.0
2023-01-01 10:00:00,12.2,88,0.0
2023-01-01 11:00:00,13.5,74,0.0
2023-01-01 12:00:00,14.7,68,0.0
2023-01-01 13:00:00,15.7,58,0.0
2023-01-01 14:00:00,16.1,51,0.0
2023-01-01 15:00:00,15.8,52,0.0
2023-01-01 16:00:00,15.4,52,0.0
2023-01-01 17:00:00,14.5,58,0.0
2023-01-01 18:00:00,12.2,61,0.0
2023-01-01 19:00:00,11.2,58,0.0
2023-01-01 20:00:00,11.0,58,0.0
2023-01-01 21:00:00,10.8,58,0.0
2023-01-01 22:00:00,10.6,59,0.0
2023-01-01 23:00:00,10.0,61,0.0
2023-01-02 00:00:00,9.1,64,0.0
2023-01-02 01:00:00,8.7,67,0.0
2023-01-02 02:00:00,7.4,72,0.0
2023-01-02 03:00:00,6.1,78,0.0
2023-01-02 04:00:00,5.1,81,0.0
2023-01-02 05:00:00,5.3,86,0.0
2023-01-02 06:00:00,5.3,85,0.0
2023-01-02 07:00:00,5.5,88,0.0
2023-01-02 08:00:00,6.0,92,0.0
2023-01-02 09:00:00,7.4,85,0.0
2023-01-02 10:00:00,10.1,75,0.0
2023-01-02 11:00:00,11.8,72,0.0
2023-01-02 12:00:00,12.6,71,0.0
2023-01-02 13:00:00,13.2,66,0.0
2023-01-02 14:00:00,13.5,64,0.0
2023-01-02 15:00:00,13.7,64,0.0
2023-01-02 16:00:00,13.5,67,0.0
2023-01-02 17:00:00,12.3,69,0.0
2023-01-02 18:00:00,11.4,85,0.3
2023-01-02 19:00:00,10.8,86,0.6
2023-01-02 20:00:00,10.2,86,0.5
2023-01-02 21:00:00,9.8,85,0.3
2023-01-02 22:00:00,9.6,82,0.1
2023-01-02 23:00:00,9.2,86,0.1
2023-01-03 00:00:00,9.4,88,0.0
2023-01-03 01:00:00,9.5,86,0.3
2023-01-03 02:00:00,9.5,87,0.1
2023-01-03 03:00:00,9.6,89,0.4
2023-01-03 04:00:00,9.8,89,0.6
2023-01-03 05:00:00,9.8,83,1.6
2023-01-03 06:00:00,10.3,81,0.2
2023-01-03 07:00:00,10.3,81,0.2
2023-01-03 08:00:00,10.2,81,0.1
2023-01-03 09:00:00,10.6,81,0.1
2023-01-03 10:00:00,11.5,82,0.0
2023-01-03 11:00:00,12.0,80,0.0
2023-01-03 12:00:00,12.7,80,0.1
2023-01-03 13:00:00,13.0,79,0.3
2023-01-03 14:00:00,13.7,77,0.2
2023-01-03 15:00:00,13.7,79,0.2
2023-01-03 16:00:00,13.7,80,0.1
2023-01-03 17:00:00,14.0,85,0.1
2023-01-03 18:00:00,13.4,89,0.2
2023-01-03 19:00:00,13.0,88,0.4
2023-01-03 20:00:00,13.2,88,0.3
2023-01-03 21:00:00,13.4,87,0.0
2023-01-03 22:00:00,13.5,87,0.0
2023-01-03 23:00:00,13.6,86,0.2
2023-01-04 00:00:00,13.3,88,1.0
2023-01-04 01:00:00,12.9,91,1.6
2023-01-04 02:00:00,12.6,95,1.5
