time,temperature_2m,relativehumidity_2m,precipitation
2023-01-01 00:00:00,10.7,99,1.0
2023-01-01 01:00:00,10.5,99,1.0
2023-01-01 02:00:00,10.4,98,0.1
2023-01-01 03:00:00,10.3,96,0.0
2023-01-01 04:00:00,9.7,95,0.0
2023-01-01 05:00:00,9.0,95,0.0
2023-01-01 06:00:00,8.5,94,0.0
2023-01-01 07:00:00,7.8,94,0.0
2023-01-01 08:00:00,6.6,97,0.0
2023-01-01 09:00:00,7.9,94,0.0
2023-01-01 10:00:00,9.4,90,0.0
2023-01-01 11:00:00,10.5,84,0.0
2023-01-01 12:00:00,10.8,74,0.0
2023-01-01 13:00:00,11.4,68,0.0
2023-01-01 14:00:00,11.7,61,0.0
2023-01-01 15:00:00,11.8,57,0.0
2023-01-01 16:00:00,11.6,56,0.0
2023-01-01 17:00:00,10.1,65,0.0
2023-01-01 18:00:00,6.9,76,0.0
2023-01-01 19:00:00,5.3,83,0.0
2023-01-01 20:00:00,4.8,82,0.0
2023-01-01 21:00:00,6.0,83,0.0
2023-01-01 22:00:00,5.0,86,0.0
2023-01-01 23:00:00,5.7,83,0.0
2023-01-02 00:00:00,6.1,82,0.0
2023-01-02 01:00:00,6.4,83,0.0
2023-01-02 02:00:00,5.5,86,0.0
2023-01-02 03:00:00,4.4,90,0.0
2023-01-02 04:00:00,5.0,91,0.0
2023-01-02 05:00:00,4.5,91,0.0
2023-01-02 06:00:00,4.4,90,0.0
2023-01-02 07:00:00,4.5,90,0.0
2023-01-02 08:00:00,4.9,90,0.0
2023-01-02 09:00:00,5.7,89,0.0
2023-01-02 10:00:00,6.8,85,0.0
2023-01-02 11:00:00,8.3,83,0.0
2023-01-02 12:00:00,9.9,76,0.0
2023-01-02 13:00:00,11.0,71,0.0
2023-01-02 14:00:00,12.0,67,0.0
2023-01-02 15:00:00,12.5,66,0.0
2023-01-02 16:00:00,12.7,67,0.0
2023-01-02 17:00:00,11.1,76,0.0
2023-01-02 18:00:00,9.3,82,0.2
2023-01-02 19:00:00,8.4,86,0.0
2023-01-02 20:00:00,7.6,91,0.0
2023-01-02 21:00:00,8.8,87,0.0
2023-01-02 22:00:00,8.3,92,0.0
2023-01-02 23:00:00,8.5,92,0.3
2023-01-03 00:00:00,8.1,95,0.1
